gene	module
ENSG00000254987	turquoise
ENSG00000254998	royalblue
ENSG00000255202	turquoise
ENSG00000255234	greenyellow
MIR100HG	turquoise
ENSG00000255308	turquoise
NPIPB8	lightyellow
RAB44	turquoise
SNHG1	turquoise
RMST	red
ENSG00000255910	grey60
ZNF486	grey
ENSG00000256248	floralwhite
ZNF350	turquoise
SLC5A8	grey
ENSG00000256948	brown
HP	grey
KIAA1147	blue
PGAM1P5	turquoise
GATC	darkorange
LINC01619	green
ENSG00000257252	turquoise
ENSG00000257894	pink
LINC02300	turquoise
CLEC5A	blue
LINC00641	blue
HIF1A-AS2	blue
SRP54-AS1	darkmagenta
LINC02328	sienna3
ENSG00000258959	orangered4
ENSG00000258964	grey
ENSG00000259336	turquoise
ENSG00000259354	blue
LINC01314	orangered4
ENSG00000259543	orangered4
IQCH-AS1	turquoise
ENSG00000259692	turquoise
ENSG00000259834	saddlebrown
ENSG00000259882	yellowgreen
ENSG00000259925	turquoise
MMP2-AS1	brown
ENSG00000260177	magenta
MRC1	blue
LINC01290	pink
ENSG00000260517	brown
ENSG00000260729	turquoise
CCPG1	turquoise
WFDC21P	turquoise
TMEM178B	turquoise
SPINT1-AS1	grey
PECAM1	brown
ENSG00000261404	turquoise
GAN	darkturquoise
LINC00922	lightcyan
ENSG00000261879	turquoise
ENSG00000262302	cyan
ENSG00000262621	lightcyan
ENSG00000263050	lightyellow
ENSG00000263307	blue
TAPT1-AS1	turquoise
LINC00667	blue
SNORD3A	lightgreen
C1orf186	brown
ABHD15-AS1	saddlebrown
ANXA8L1	pink
ENSG00000264324	turquoise
TSPOAP1-AS1	turquoise
ENSG00000265334	yellowgreen
TIMM23	salmon
RNF115	floralwhite
NDUFV2-AS1	turquoise
ENSG00000266313	turquoise
ENSG00000266573	black
ENSG00000266865	ivory
ILF3-AS1	royalblue
PCAT19	purple
ENSG00000267121	cyan
LINC01924	darkgrey
ENSG00000267175	magenta
ENSG00000267275	turquoise
ENSG00000267299	lightyellow
LINC02001	white
ENSG00000267379	darkorange
ENSG00000267422	brown
ENSG00000267519	grey
ENSG00000267551	orange
ENSG00000267559	darkolivegreen
LINC01482	brown
ZNF224	turquoise
ENSG00000267787	magenta
ENSG00000268081	yellow
ENSG00000268205	grey
ENSG00000268797	blue
ENSG00000268861	cyan
ENSG00000269237	salmon
ENSG00000269946	brown
ENSG00000270022	blue
TSNAX-DISC1	darkred
POC1B-AS1	turquoise
ENSG00000270571	turquoise
HCG17	darkgreen
SRGAP2D	greenyellow
ARMCX5-GPRASP2	blue
ENSG00000271204	brown
CCL5	darkolivegreen
LIX1L	blue
MILR1	orangered4
ATP2B1-AS1	blue
ENSG00000271727	sienna3
ENSG00000271758	turquoise
GTF2H5	blue
ENSG00000272162	orangered4
KMT2B	turquoise
ENSG00000272368	turquoise
CD24	turquoise
ENSG00000272419	lightgreen
ENSG00000272568	darkred
ENSG00000272693	greenyellow
ENSG00000272772	royalblue
ENSG00000272779	magenta
ENSG00000273247	turquoise
ENSG00000273269	violet
ENSG00000273550	greenyellow
ZNHIT3	lightgreen
CYFIP1	darkturquoise
LINC01138	darkgreen
ENSG00000274173	brown
ENSG00000274210	blue
SOCS7	turquoise
ENSG00000274322	blue
RCC1L	turquoise
CCL23	turquoise
MLLT6	grey
SYNRG	saddlebrown
ENSG00000275119	blue
CCL4	blue
CCL18	brown
RNVU1-19	blue
ARHGAP23	turquoise
DUSP14	turquoise
UHRF1	darkturquoise
CCL4L2	blue
CCL3L1	blue
ENSG00000276216	royalblue
PIP4K2B	blue
ENSG00000276476	blue
HERC2P2	purple
HYDIN2	turquoise
ENSG00000277089	greenyellow
LINC00869	lightgreen
MARCKS	blue
CCL3	blue
ENSG00000277639	turquoise
GGNBP2	black
ENSG00000279602	blue
ENSG00000279662	darkred
ENSG00000280194	blue
EIF1B-AS1	blue
TRG-AS1	blue
ARRDC3-AS1	blue
ENSG00000281593	blue
EBLN3P	grey
FRG1CP	darkred
HIST1H3D_version2	white
ENSG00000283321	grey
ENSG00000283518	turquoise
ENSG00000283573	blue
ENSG00000283674	lightcyan1
ENSG00000283696	blue
ENSG00000283782	salmon
ENSG00000283977	turquoise
